id,region,segment,pricing_model,price_disclosed,has_extra_fees,trial_offered,audited
V059,الخليج,,مجاني/فريميوم,جزئيّ,False,True,False
V060,الهند,شركات خليجية تقليدية تدير حساباتها على Tally وتريد إضافة بيع,أخرى,معلن,True,True,True
V061,الخليج,,لكل شركة,معلن,True,True,False
V062,أخرى,الشركات الصغيرة والمتوسطة التونسية: تجارة وتوزيع ومخازن,أخرى,معلن,False,False,False
V063,أمريكا الشمالية,المؤسسات الصحية الكبرى والموزّعون ومزوّدو اللوجستيات؛ من الس,حسب الطلب,معلن,False,False,False
V064,الخليج,,أخرى,جزئيّ,False,False,False
V065,الهند,شركات ذات قوى عاملة ميدانية وأساطيل — من 10 إلى 100+ مستخدم,لكل مستخدم,معلن,True,True,False
V066,الخليج,تجزئة وتوزيع في الأردن والسعودية وقطر: ERP + كاش فان + POS +,حسب الطلب,مخفيّ,False,True,False
V067,أخرى,,لكل مستخدم,معلن,True,False,False
V068,الهند,"شركات بفرق ميدانية من 2 إلى 10,000+ موظف (1,000+ شركة، 20,00",لكل مستخدم,معلن,False,True,False
V069,مصر,محلات وشركات عربية صغيرة تشتري ترخيصاً مرة واحدة,أخرى,معلن,False,False,False
V070,الهند,,لكل مستخدم,معلن,False,True,False
V071,الخليج,شركات صغيرة ومتوسطة ومكاتب محاسبة تريد فوترة ZATCA مباشرة عب,لكل شركة,معلن,False,True,False
V072,الخليج,من رائد الأعمال الفردي إلى الشركات المتوسطة؛ من يريد منظومة ,لكل شركة,معلن,True,True,True
V073,الخليج,أقسام الموارد البشرية التي تريد حضوراً وإجازات للموظفين بمن ,لكل مستخدم,معلن,True,True,True
V074,الخليج,,رخصة لمرّة واحدة,معلن,False,False,False
